2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,2,2,2,2,2
2,1,0,0,0,1,1,1,2,2,3,3,0,0,3,3,2,2,2,2
2,1,0,1,0,1,4,4,4,2,3,0,0,0,0,3,2,2,2,2
2,1,0,0,0,1,4,6,4,2,3,3,0,0,3,3,2,2,2,2
2,1,1,1,1,1,4,4,4,2,2,3,3,3,3,2,2,5,5,2
2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,5,5,5,5
2,2,2,1,3,3,3,1,2,4,4,4,2,2,2,2,5,6,6,5
2,2,2,1,3,1,3,1,2,4,6,4,2,2,2,2,5,6,5,5
2,2,2,1,3,3,3,1,2,4,4,4,2,1,1,1,5,5,5,2
2,2,2,1,1,1,1,1,2,2,2,2,2,1,0,0,0,1,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,1,2,2
2,2,4,4,4,2,2,2,2,3,3,3,2,1,0,0,0,1,2,2
2,2,4,6,4,2,2,2,2,3,0,3,2,1,1,1,1,1,2,2
2,2,4,4,4,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2
2,2,2,2,2,2,5,5,5,2,2,2,2,2,4,4,4,2,2,2
2,2,1,1,1,2,5,6,5,2,2,2,2,2,4,6,4,2,2,2
2,2,1,0,1,2,5,5,5,2,2,3,3,2,4,4,4,2,2,2
2,2,1,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
