9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,3,8,8,4,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,6,9,9,7,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,9,9,9,7,6,9,9,7,0
9,9,9,9,9,9,9,9,9,9,11,11,11,11,9,9,9,9,11,0,0,11,9,9,7,1,5,5,2,0
9,9,9,9,9,9,9,9,9,9,11,9,9,11,9,9,9,9,11,0,0,0,11,9,13,8,8,8,8,8
9,9,9,9,9,9,9,9,9,9,11,9,9,11,9,9,9,9,11,0,0,0,0,11,9,9,9,9,9,9
9,9,9,9,9,9,15,5,14,9,9,9,9,9,9,9,9,9,9,11,8,4,0,0,11,9,9,9,9,9
9,9,9,9,9,9,7,0,6,9,9,9,9,9,9,9,9,9,9,9,9,7,0,0,0,11,9,9,9,9
9,9,9,9,9,9,13,4,1,5,14,9,9,9,9,9,9,9,9,9,9,7,0,0,0,11,9,9,9,9
9,9,9,9,9,20,9,13,4,0,1,14,9,9,9,9,9,9,9,9,9,7,0,0,0,0,11,9,9,9
9,9,9,9,9,9,9,9,7,3,4,6,9,9,9,9,9,9,9,11,5,2,0,0,0,0,11,9,9,9
9,9,9,9,9,15,5,5,2,1,2,6,9,9,9,9,9,9,9,11,0,0,0,0,0,0,11,9,9,9
9,9,9,20,9,13,8,4,0,3,8,12,9,9,9,9,9,9,9,11,0,0,0,0,0,11,9,9,9,9
9,9,9,9,9,9,9,13,8,12,9,9,9,9,20,9,9,9,9,11,11,11,11,11,11,9,9,9,9,9
9,9,9,9,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,5,14,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,5,2,0,1,5,5,14,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,8,8,8,8,8,8,8,17,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
